iName,iNum,Cap,Sold,Inv,Sales
,,,,,
Cape Cod Chips BBQ,0111,7,1,6,1.25
Cape Cod Chips Salt & Vinegar,0113,7,1,6,1.25
Funyuns Onion Rings,0115,7,0,7,0.0
Ruffles Cheddar & Sour Cream,0117,7,1,6,1.25
,,,,,
Plantain Chips,0121,7,0,7,0.0
Cheetos,0123,7,1,6,1.25
Honey Buns,0125,7,1,6,1.5500000000000003
Litte Debbie Little Brownies,0127,7,0,7,0.0
,,,,,
Milano Cookies,0130,14,0,14,0.0
Hersey's Chocolate Bar/Oreo,0131,14,2,12,2.5
Wafer Chocolate,0132,14,1,13,1.35
Wafer Vanilla,0133,14,1,13,1.25
Chips Ahoy Cookies,0134,14,0,14,0.0
Cashews,0135,14,0,14,0.0
Almonds,0136,14,0,14,0.0
Peanuts,0137,14,0,14,0.0
,,,,,
Sunkist,0140,15,0,15,0.0
Coca Cola,0141,15,1,14,1.6
Sprite,0142,15,0,15,0.0
Jupiña,0143,15,1,14,1.7000000000000002
Materva,0144,15,2,13,3.0
Juice Guava,0145,15,0,15,0.0
Juice Mango,0146,15,0,15,0.0
