iName,iNum,Cap,Sold,Inv,Sales
,,,,,
Cape Cod Chips BBQ,0111,7,15,-8,19.849999999999998
Cape Cod Chips Salt & Vinegar,0113,7,3,4,3.85
Funyuns Onion Rings,0115,7,6,1,7.6
Ruffles Cheddar & Sour Cream,0117,7,8,-1,10.0
,,,,,
Plantain Chips,0121,7,8,-1,10.399999999999999
Cheetos,0123,7,4,3,5.199999999999999
Honey Buns,0125,7,12,-5,16.499999999999996
Litte Debbie Little Brownies,0127,7,1,6,1.25
,,,,,
Milano Cookies,0130,14,6,8,9.499999999999998
Hersey's Chocolate Bar/Oreo,0131,14,8,6,11.599999999999998
Wafer Chocolate,0132,14,11,3,15.099999999999998
Wafer Vanilla,0133,14,2,12,2.75
Chips Ahoy Cookies,0134,14,1,13,1.35
Cashews,0135,14,4,10,5.199999999999999
Almonds,0136,14,12,2,15.499999999999998
Peanuts,0137,14,13,1,17.700000000000003
,,,,,
Sunkist,0140,15,8,7,12.2
Coca Cola,0141,15,26,-11,39.70000000000001
Sprite,0142,15,14,1,21.600000000000005
Jupiña,0143,15,21,-6,32.70000000000001
Materva,0144,15,4,11,6.0
Juice Guava,0145,15,3,12,5.5
Juice Mango,0146,15,12,3,11.1
