iName,iNum,Cap,Sold,Inv,Sales
,,,,,
Cape Cod Chips BBQ,0111,7,2,5,2.5
Cape Cod Chips Salt & Vinegar,0113,7,0,7,0.0
Funyuns Onion Rings,0115,7,0,7,0.0
Ruffles Cheddar & Sour Cream,0117,7,0,7,0.0
,,,,,
Plantain Chips,0121,7,0,7,0.0
Cheetos,0123,7,0,7,0.0
Honey Buns,0125,7,0,7,0.0
Litte Debbie Little Brownies,0127,7,0,7,0.0
,,,,,
Milano Cookies,0130,14,0,14,0.0
Hersey's Chocolate Bar/Oreo,0131,14,0,14,0.0
Wafer Chocolate,0132,14,0,14,0.0
Wafer Vanilla,0133,14,0,14,0.0
Chips Ahoy Cookies,0134,14,0,14,0.0
Cashews,0135,14,0,14,0.0
Almonds,0136,14,1,13,1.5500000000000003
Peanuts,0137,14,0,14,0.0
,,,,,
Sunkist,0140,15,0,15,0.0
Coca Cola,0141,15,6,9,9.599999999999998
Sprite,0142,15,0,15,0.0
Jupiña,0143,15,0,15,0.0
Materva,0144,15,1,14,1.5
Juice Guava,0145,15,0,15,0.0
Juice Mango,0146,15,1,14,1.5
