iName,iNum,Cap,Inv,Sold,Price,Sales,Cost,Profit
,,,,,,,,
Plantain Chips Lime,0111,7,7,0,0.00,0.00,0.55,0.00
Plantain Chips Orig,0113,7,7,0,0.00,0.00,0.55,0.00
Plantain Chips Sweet,0115,7,7,0,0.00,0.00,0.55,0.00
Honey Buns,0117,7,5,2,1.65,3.30,0.58,2.14
,,,,,,,,
Lays Orig,0121,7,7,0,0.00,0.00,0.40,0.00
Lays Orig,0123,7,7,0,0.00,0.00,0.40,0.00
Funyuns,0125,7,7,0,0.00,0.00,0.40,0.00
Litte Debbie Little Brownies,0127,7,7,0,0.00,0.00,0.50,0.00
,,,,,,,,
Milano Cookies,0130,14,14,0,0.00,0.00,0.40,0.00
Hersey's Chocolate Bar,0131,14,11,3,1.50,4.50,0.94,1.68
Wafer Chocolate,0132,14,14,0,0.00,0.00,0.30,0.00
Wafer Vanilla,0133,14,14,0,0.00,0.00,0.30,0.00
Chips Ahoy Cookies,0134,14,14,0,0.00,0.00,0.50,0.00
Cashews,0135,14,14,0,0.00,0.00,0.45,0.00
Almonds,0136,14,14,0,0.00,0.00,0.45,0.00
Peanuts,0137,14,14,0,0.00,0.00,0.45,0.00
,,,,,,,,
Sunkist,0140,15,15,0,0.00,0.00,0.45,0.00
Coca Cola,0141,15,15,0,0.00,0.00,0.33,0.00
Sprite,0142,15,15,0,0.00,0.00,0.33,0.00
Jupiña,0143,15,14,1,1.60,1.60,0.45,1.15
Materva,0144,15,12,3,1.53,4.60,0.45,3.25
Juice Guava,0145,15,15,0,0.00,0.00,0.50,0.00
Juice Mango,0146,15,15,0,0.00,0.00,0.33,0.00
