iName,iNum,Cap,Sold,Inv,Sales
,,,,,
Cape Cod Chips Original,0111,7,8,-1,10.6
Cape Cod Chips Salt & Vinegar,0113,7,1,6,1.35
Funyuns Onion Rings,0115,7,4,3,5.1
Doritos Ranch,0117,7,0,7,0.0
,,,,,
Plantain Chips,0121,7,3,4,4.05
Cheetos,0123,7,0,7,0.0
Honey Buns,0125,7,5,2,6.949999999999998
Litte Debbie Little Brownies,0127,7,0,7,0.0
,,,,,
Milano Cookies,0130,14,1,13,1.25
Hersey's Chocolate Bar,0131,14,4,10,5.3
Wafer Chocolate,0132,14,3,11,3.75
Wafer Vanilla,0133,14,0,14,0.0
Chips Ahoy Cookies,0134,14,0,14,0.0
Oreo Cookies,0135,14,0,14,0.0
Almonds,0136,14,6,8,7.999999999999998
Peanuts,0137,14,6,8,7.6
,,,,,
Sunkist,0140,15,2,13,3.0
Coca Cola,0141,15,5,10,7.6
Sprite,0142,15,6,9,9.499999999999998
Jupiña,0143,15,7,8,10.7
Malta,0144,15,0,15,0.0
Juice Guava,0145,15,2,13,3.0
Juice Mango,0146,15,3,12,3.1
