iName,iNum,Cap,Sold,Inv,Sales
,,,,,
Plantain Chips Lime,0111,7,0,7,0.0
Plantain Chips Orig,0113,7,2,5,3.5
Plantain Chips Sweet,0115,7,0,7,0.0
Honey Buns,0117,7,0,7,0.0
,,,,,
Lays Orig,0121,7,3,4,4.1499999999999995
Lays Orig,0123,7,0,7,0.0
Funyuns,0125,7,0,7,0.0
Litte Debbie Little Brownies,0127,7,0,7,0.0
,,,,,
Milano Cookies,0130,14,0,14,0.0
Hersey's Chocolate Bar,0131,14,0,14,0.0
Wafer Chocolate,0132,14,0,14,0.0
Wafer Vanilla,0133,14,0,14,0.0
Chips Ahoy Cookies,0134,14,0,14,0.0
Cashews,0135,14,0,14,0.0
Almonds,0136,14,1,13,1.25
Peanuts,0137,14,0,14,0.0
,,,,,
Sunkist,0140,15,0,15,0.0
Coca Cola,0141,15,1,14,1.7000000000000002
Sprite,0142,15,2,13,3.0
Jupiña,0143,15,2,13,3.1
Materva,0144,15,2,13,3.1
Juice Guava,0145,15,0,15,0.0
Juice Mango,0146,15,0,15,0.0
